fayl,sinif,siqnal,public_metod,idarəedici,cəmi
announcements.py,AnnouncementsScreen,2,1,4,7
announcements.py,AnnouncementComposeDialog,1,0,5,6
annual_leave.py,AnnualLeaveInboxScreen,3,2,4,9
annual_leave.py,AnnualLeaveRequestDialog,1,0,3,4
attrition_risk.py,AttritionRiskScreen,1,1,3,5
bulk_operations.py,BulkOperationsScreen,5,5,9,19
bulk_operations.py,StoreTemplateCaptureDialog,1,0,3,4
bulk_operations.py,StoreTemplateApplyDialog,1,0,2,3
bulk_operations.py,BulkImportResultDialog,0,0,4,4
face_control.py,FaceEnrollmentScreen,5,8,10,23
face_control.py,FaceExemptionScreen,3,4,8,15
face_control.py,FaceVerificationOverlay,2,6,1,9
field_reports.py,FieldReportScreen,3,20,23,46
fine_review.py,MonthlyFineReviewScreen,5,11,10,26
fine_review.py,PublishConfirmDialog,1,1,2,4
group_a_entry.py,SplashScreen,1,2,0,3
group_a_entry.py,AdminLoginScreen,1,4,1,6
group_a_entry.py,FirstRunWizard,2,2,3,7
group_a_kiosk.py,PinPadScreen,1,8,1,10
group_a_kiosk.py,EmployeeHomeScreen,8,13,11,32
group_b.py,QueueRow,3,1,5,9
group_b.py,OperatorQueueScreen,5,7,1,13
group_b.py,ManualTimeOverrideDialog,1,2,4,7
group_b.py,PhotoDropZone,1,7,0,8
group_b.py,FineEntryScreen,1,4,6,11
group_c.py,DashboardScreen,2,12,4,18
group_c.py,PermissionMatrixScreen,3,6,7,16
group_c.py,RoleCreateDialog,1,0,4,5
group_c.py,UsersScreen,3,4,5,12
group_c.py,PosThresholdDialog,2,0,6,8
group_c.py,EmployeeDocumentDialog,2,2,7,11
group_c.py,ShiftPlanningScreen,6,9,7,22
group_c.py,DailyRosterScreen,2,4,6,12
group_c.py,ShiftSwapScreen,3,5,4,12
group_d.py,ErpServersScreen,3,4,5,12
group_d.py,ServerConnectionWizard,2,5,7,14
group_d.py,BackupScreen,2,4,7,13
group_d.py,RestoreConfirmDialog,1,0,2,3
group_d.py,HealthScreen,2,5,2,9
group_d.py,AuditScreen,3,4,7,14
group_d.py,SettingsScreen,6,4,7,17
group_d.py,DriveConnectionScreen,2,5,5,12
group_d.py,RootControlScreen,4,10,13,27
group_e.py,SupportChatWidget,3,9,4,16
group_e.py,DeveloperPanelScreen,3,5,3,11
group_f.py,TaskCard,2,0,3,5
group_f.py,TasksScreen,3,2,2,7
group_f.py,SalesPointsScreen,2,3,5,10
group_f.py,FineAppealScreen,2,3,5,10
group_f.py,FineAppealInboxScreen,2,1,4,7
group_f.py,UnassignedSalesScreen,3,4,5,12
group_g.py,NotificationItem,1,2,0,3
group_g.py,NotificationPanel,4,3,3,10
group_g.py,ProfileScreen,4,7,8,19
group_h.py,CatalogScreen,3,1,5,9
group_h.py,CatalogEntryDialog,1,0,2,3
group_h.py,ReportExportScreen,6,16,12,34
group_h.py,ExportCorrectionDialog,1,0,5,6
group_h.py,TopicChip,1,1,0,2
group_h.py,HelpCenterScreen,2,1,2,5
group_i.py,PhaseRow,0,1,1,2
group_i.py,InfrastructureScreen,2,6,3,11
group_i.py,MigrationConfirmDialog,1,0,2,3
group_i.py,WidgetRow,3,1,4,8
group_i.py,DashboardBuilderScreen,2,4,2,8
group_i.py,PluginScreen,3,1,5,9
group_i.py,PluginPageScreen,0,1,1,2
group_i.py,ExceptionsScreen,2,2,5,9
open_shift.py,OpenShiftMarketCard,2,1,2,5
open_shift.py,OpenShiftPostDialog,1,0,3,4
performance_review.py,PerformanceReviewScreen,2,6,5,13
sync_conflicts.py,SyncConflictScreen,3,10,6,19
